candidate_id,name,norm_name,place_type,focus_type,is_specific_focus,localidad,comuna,provincia,region,lat,lon,source,ambiguous_count
geo_031072,Punta Crossover,punta crossover,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-52.70004398604855,-71.41627904015148,Toponimos_BCN,1
geo_031073,Punta Crown,punta crown,Elementos del Relieve,relieve,True,,PUNTA ARENAS,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-54.01670501402568,-71.2329340665574,Toponimos_BCN,1
geo_031074,Punta Crucero,punta crucero,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.10004520456496,-72.24960645423633,Toponimos_BCN,1
geo_031075,Punta Cruz,punta cruz,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-52.93338151492067,-72.96627275706872,Toponimos_BCN,1
geo_031076,Punta Cuarzo,punta cuarzo,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-54.71670449689545,-71.86625873052773,Toponimos_BCN,1
geo_031077,Punta Cubillos,punta cubillos,Elementos del Relieve,relieve,True,,CISNES,AISEN,DE AISEN,-44.71674437916154,-72.71633298190689,Toponimos_BCN,1
geo_031078,Punta Cucagua,punta cucagua,Elementos del Relieve,relieve,True,,CHAITEN,PALENA,DE LOS LAGOS,-43.45230552999367,-73.08689470300392,Toponimos_BCN,1
geo_031079,Punta Cuchillo,punta cuchillo,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-47.45007328565497,-74.51631192245112,Toponimos_BCN,1
geo_031080,Punta Cuello,punta cuello,Elementos del Relieve,relieve,True,,QUELLON,CHILOE,DE LOS LAGOS,-42.98341958016057,-73.54967396594242,Toponimos_BCN,1
geo_031081,Punta Cuero,punta cuero,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-49.03340294598797,-75.16629942944009,Toponimos_BCN,1
geo_031082,Punta Cuervos,punta cuervos,Elementos del Relieve,relieve,True,,CALBUCO,LLANQUIHUE,DE LOS LAGOS,-41.67814470338357,-72.90440425990869,Toponimos_BCN,2
geo_031083,Punta Cuervos,punta cuervos,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-51.68338505747534,-72.63295118116513,Toponimos_BCN,2
geo_031084,Punta Cueva de la Negra,punta cueva de la negra,Elementos del Relieve,relieve,True,,PICHILEMU,CARDENAL CARO,DEL LIBERTADOR B OHIGGINS,-34.31677889963995,-71.98304744836462,Toponimos_BCN,1
geo_031085,Punta Cueva Negra,punta cueva negra,Elementos del Relieve,relieve,True,,PICHILEMU,CARDENAL CARO,DEL LIBERTADOR B OHIGGINS,-34.31677889963995,-71.98304744836462,Toponimos_BCN,1
geo_031086,Punta Cuevas,punta cuevas,Elementos del Relieve,relieve,True,,CASTRO,CHILOE,DE LOS LAGOS,-42.50008987227528,-74.19967519020577,Toponimos_BCN,2
