$CLIMA$hot_days$annual$future$ssp245,$CLIMA$hot_days$annual$present,ComCod,NOM_COMUNA,_source_sha256
0.4333,0.1222,8110.0,TALCAHUANO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
20.613,9.0644,8309.0,QUILLECO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
12.6143,5.2575,8311.0,SANTA BÁRBARA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.4765,0.8765,8111.0,TOMÉ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
15.0063,6.2153,8104.0,FLORIDA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
44.7387,22.556,8303.0,CABRERO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
37.8962,19.5774,8313.0,YUMBEL,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
15.4417,7.2843,9101.0,TEMUCO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.4994,0.222,9102.0,CARAHUE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.6654,2.0103,9103.0,CUNCO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.0639,0.6929,9104.0,CURARREHUE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
11.9546,5.5449,9105.0,FREIRE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
18.5688,9.0896,9106.0,GALVARINO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
8.0605,3.6284,9107.0,GORBEA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
10.7779,4.6932,9108.0,LAUTARO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
5.9996,2.5163,9109.0,LONCOCHE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.1337,0.7778,9110.0,MELIPEUCO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
8.5468,4.1667,9111.0,NUEVA IMPERIAL,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
15.8281,7.3167,9112.0,PADRE LAS CASAS,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
17.2393,7.7202,9113.0,PERQUENCO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
7.4728,3.4383,9114.0,PITRUFQUÉN,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
3.5109,1.424,9115.0,PUCÓN,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.1781,0.0563,9116.0,SAAVEDRA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
