folio,id_persona,expp,expc,provincia,comuna
101071401,7,44,44,111,11101
101071401,8,44,44,111,11101
101080101,1,56,43,43,4304
101080101,2,56,43,43,4304
101080101,3,56,43,43,4304
101080101,4,56,43,43,4304
101080201,1,56,43,43,4304
101080201,2,56,43,43,4304
101080201,3,56,43,43,4304
101080201,4,56,43,43,4304
101080201,5,56,43,43,4304
101080301,1,56,43,43,4304
101080401,1,56,43,43,4304
101080401,2,56,43,43,4304
101080401,3,56,43,43,4304
101080501,1,56,43,43,4304
101080501,2,56,43,43,4304
101080601,1,56,43,43,4304
101080701,1,56,43,43,4304
101080701,2,56,43,43,4304
101080701,3,56,43,43,4304
101080701,4,56,43,43,4304
101080901,1,56,43,43,4304
101080901,2,56,43,43,4304
101081001,1,56,43,43,4304
101090101,1,62,66,91,9108
101090201,1,62,65,91,9108
101090201,2,62,65,91,9108
101090301,1,62,65,91,9108
101090301,2,62,65,91,9108
101090301,3,62,65,91,9108
101090301,4,62,65,91,9108
101090301,5,62,65,91,9108
101090401,1,62,65,91,9108
101090401,2,62,65,91,9108
101090401,3,62,65,91,9108
101090501,1,62,65,91,9108
101090501,2,62,65,91,9108
101090501,3,62,65,91,9108
101090601,1,62,65,91,9108
101090601,2,62,65,91,9108
101090601,3,62,65,91,9108
101090701,1,63,65,91,9108
101090701,2,63,65,91,9108
101090701,3,63,65,91,9108
101090701,4,63,65,91,9108
101090702,1,62,65,91,9108
101090702,2,62,65,91,9108
101090702,3,62,65,91,9108
101090801,1,63,66,91,9108
101090801,2,63,66,91,9108
101090801,3,63,66,91,9108
101090801,4,63,66,91,9108
101110101,1,105,110,103,10301
101110101,2,105,110,103,10301
101110101,3,105,110,103,10301
101110201,1,106,110,103,10301
101110201,2,106,110,103,10301
101110201,3,106,110,103,10301
101110201,4,106,110,103,10301
101110401,1,106,110,103,10301
101110401,2,106,110,103,10301
101110501,1,106,110,103,10301
101150101,1,68,76,81,8111
101150101,2,68,76,81,8111
101150101,3,68,76,81,8111
101150201,1,68,76,81,8111
101150201,2,68,76,81,8111
101150201,3,68,76,81,8111
101150201,4,68,76,81,8111
101150301,1,68,76,81,8111
101150401,1,68,76,81,8111
101150401,2,68,76,81,8111
101150401,3,68,76,81,8111
101150401,4,68,76,81,8111
101150501,1,69,77,81,8111
101150501,2,69,77,81,8111
101150501,3,69,77,81,8111
101150601,1,68,76,81,8111
101150601,2,68,76,81,8111
101150601,3,68,76,81,8111
101150601,4,68,76,81,8111
101150701,1,69,76,81,8111
101150701,2,69,76,81,8111
101150801,1,69,76,81,8111
101160101,1,56,56,22,2201
101160101,2,56,56,22,2201
101160201,1,57,56,22,2201
101160201,2,57,56,22,2201
101160301,1,57,56,22,2201
101160301,2,57,56,22,2201
101160401,1,57,56,22,2201
101160401,2,57,56,22,2201
101160401,3,57,56,22,2201
101160401,4,57,56,22,2201
101160601,1,57,56,22,2201
101160601,2,57,56,22,2201
101160601,3,57,56,22,2201
101160601,4,57,56,22,2201
101160601,5,57,56,22,2201
101160601,6,57,56,22,2201
101160701,1,57,55,22,2201
101160801,1,57,55,22,2201
101160801,2,57,55,22,2201
101160801,3,57,55,22,2201
101160801,4,57,55,22,2201
101160801,5,57,55,22,2201
101160801,6,57,55,22,2201
101200201,1,65,64,22,2201
101200201,2,65,64,22,2201
101200201,3,65,64,22,2201
101200401,1,65,64,22,2201
101200401,2,65,64,22,2201
101200401,3,65,64,22,2201
101200401,4,65,64,22,2201
101200401,5,65,64,22,2201
101200501,1,65,64,22,2201
101200501,2,65,64,22,2201
101200801,1,65,64,22,2201
101200801,2,65,64,22,2201
101200801,3,65,64,22,2201
101200801,4,65,64,22,2201
101220101,1,107,108,21,2101
101220101,2,107,108,21,2101
101220101,3,107,108,21,2101
101220101,4,107,108,21,2101
101220101,5,107,108,21,2101
101220101,6,107,108,21,2101
101220101,7,107,108,21,2101
101220201,1,107,107,21,2101
101220201,2,107,107,21,2101
101220301,2,107,108,21,2101
101220301,3,107,108,21,2101
101220301,4,107,108,21,2101
101220401,1,107,108,21,2101
101220401,2,107,108,21,2101
101220501,1,107,108,21,2101
101220501,2,107,108,21,2101
101220501,3,107,108,21,2101
101220501,4,107,108,21,2101
101220701,1,107,108,21,2101
101220701,2,107,108,21,2101
101220701,3,107,108,21,2101
101220701,4,107,108,21,2101
101220701,5,107,108,21,2101
101220801,1,107,108,21,2101
101220801,2,107,108,21,2101
101220801,3,107,108,21,2101
101220801,4,107,108,21,2101
101250101,1,50,50,141,14101
101250101,2,50,50,141,14101
101250101,3,50,50,141,14101
101250201,1,50,49,141,14101
101250201,2,50,49,141,14101
101250301,1,50,50,141,14101
101250301,2,50,50,141,14101
101250401,1,50,49,141,14101
101250401,2,50,49,141,14101
101250401,3,50,49,141,14101
101250401,4,50,49,141,14101
101250401,5,50,49,141,14101
101250401,6,50,49,141,14101
101250601,1,50,49,141,14101
101250601,2,50,49,141,14101
101250601,3,50,49,141,14101
101250601,4,50,49,141,14101
101250801,1,50,49,141,14101
101250801,2,50,49,141,14101
101260401,1,266,320,131,13125
101260401,2,266,320,131,13125
101260401,3,266,320,131,13125
101260401,4,266,320,131,13125
101260501,1,266,320,131,13125
101260501,2,266,320,131,13125
101260501,3,266,320,131,13125
101260501,4,266,320,131,13125
101260501,5,266,320,131,13125
101260601,1,267,320,131,13125
101260601,2,267,320,131,13125
101260601,3,267,320,131,13125
101260601,4,267,320,131,13125
101280101,1,76,75,51,5109
101280101,2,76,75,51,5109
101280101,3,76,75,51,5109
101280201,1,76,75,51,5109
101280201,2,76,75,51,5109
101280201,3,76,75,51,5109
101280301,1,77,75,51,5109
101280301,2,77,75,51,5109
101280301,3,77,75,51,5109
101280301,4,77,75,51,5109
101280501,1,76,75,51,5109
101280501,2,76,75,51,5109
101280501,3,76,75,51,5109
101280701,1,77,75,51,5109
101290101,1,76,75,92,9210
101290101,2,76,75,92,9210
101290201,1,75,76,92,9210
101290201,2,75,76,92,9210
101290301,1,75,75,92,9210
101290301,2,75,75,92,9210
101290301,3,75,75,92,9210
101290301,4,75,75,92,9210
101290301,5,75,75,92,9210
101290501,1,76,75,92,9210
101290501,2,76,75,92,9210
101290601,1,75,76,92,9210
101290601,2,75,76,92,9210
101290701,1,75,76,92,9210
101290801,1,76,75,92,9210
101290801,2,76,75,92,9210
101310501,1,32,32,31,3101
101310501,2,32,32,31,3101
101310501,3,32,32,31,3101
101310501,4,32,32,31,3101
101310501,5,32,32,31,3101
101310501,6,32,32,31,3101
101310601,1,32,32,31,3101
